Date,UNEMP,PAYEMS,INDPRO,PERMIT,T10Y2Y,UMCSENT,T10Y3M,CPIAUCSL,USREC,W875RX1,CMRMTSPL
1/1/1948,3.4,44679,14.3274,,,,,23.680,,,
2/1/1948,3.8,44533,14.3543,,,,,23.670,,,
3/1/1948,4,44683,14.1931,,,,,23.500,,,
4/1/1948,3.9,44379,14.2199,,,,,23.820,,,
5/1/1948,3.5,44796,14.4618,,,,,24.010,,,
6/1/1948,3.6,45034,14.6500,,,,,24.150,,,
7/1/1948,3.6,45160,14.6500,,,,,24.400,,,
8/1/1948,3.9,45178,14.5962,,,,,24.430,,,
9/1/1948,3.8,45294,14.4887,,,,,24.360,,,
10/1/1948,3.7,45245,14.5963,,,,,24.310,,,
11/1/1948,3.8,45192,14.4081,,,,,24.160,,,
12/1/1948,4,45032,14.2737,,,,,24.050,,,
1/1/1949,4.3,44668,14.1393,,,,,24.010,1,,
2/1/1949,4.7,44497,14.0049,,,,,23.910,1,,
3/1/1949,5,44240,13.7361,,,,,23.910,1,,
4/1/1949,5.3,44236,13.6554,,,,,23.920,1,,
5/1/1949,6.1,43984,13.4673,,,,,23.910,1,,
6/1/1949,6.2,43739,13.4404,,,,,23.920,1,,
7/1/1949,6.7,43531,13.4135,,,,,23.700,1,,
8/1/1949,6.8,43624,13.5479,,,,,23.700,1,,
9/1/1949,6.6,43780,13.6823,,,,,23.750,1,,
10/1/1949,7.9,42942,13.1716,,,,,23.670,1,,
11/1/1949,6.4,43242,13.5210,,,,,23.700,0,,
12/1/1949,6.6,43522,13.7629,,,,,23.610,0,,
1/1/1950,6.5,43526,14.0049,,,,,23.510,0,,
2/1/1950,6.4,43297,14.0586,,,,,23.610,0,,
3/1/1950,6.3,43954,14.5156,,,,,23.640,0,,
4/1/1950,5.8,44382,14.9995,,,,,23.650,0,,
5/1/1950,5.5,44718,15.3489,,,,,23.770,0,,
6/1/1950,5.4,45083,15.8059,,,,,23.880,0,,
7/1/1950,5,45454,16.3166,,,,,24.070,0,,
8/1/1950,4.5,46192,16.8274,,,,,24.200,0,,
9/1/1950,4.4,46438,16.7198,,,,,24.340,0,,
10/1/1950,4.2,46706,16.8273,,,,,24.500,0,,
11/1/1950,4.2,46776,16.8005,,,,,24.600,0,,
12/1/1950,4.3,46861,17.0962,,,,,24.980,0,,
1/1/1951,3.7,47288,17.1499,,,,,25.380,0,,
2/1/1951,3.4,47577,17.2575,,,,,25.830,0,,
3/1/1951,3.4,47873,17.3381,,,,,25.880,0,,
4/1/1951,3.1,47861,17.3650,,,,,25.920,0,,
5/1/1951,3,47952,17.3112,,,,,25.990,0,,
6/1/1951,3.2,48064,17.2306,,,,,25.930,0,,
7/1/1951,3.1,48061,16.9618,,,,,25.910,0,,
8/1/1951,3.1,48012,16.8005,,,,,25.860,0,,
9/1/1951,3.3,47954,16.9080,,,,,26.030,0,,
10/1/1951,3.5,48006,16.8811,,,,,26.160,0,,
11/1/1951,3.5,48147,17.0155,,,,,26.320,0,,
12/1/1951,3.1,48314,17.1230,,,,,26.470,0,,
1/1/1952,3.2,48296,17.3112,,,,,26.450,0,,
2/1/1952,3.1,48522,17.4187,,,,,26.410,0,,
3/1/1952,2.9,48504,17.4725,,,,,26.390,0,,
4/1/1952,2.9,48620,17.3112,,,,,26.460,0,,
5/1/1952,3,48642,17.1499,,,,,26.470,0,,
6/1/1952,3,48282,16.9886,,,,,26.530,0,,
7/1/1952,3.2,48143,16.7198,,,,,26.680,0,,
8/1/1952,3.4,48924,17.7951,,,,,26.690,0,,
9/1/1952,3.1,49320,18.4402,,,,,26.630,0,,
10/1/1952,3,49597,18.6284,,,,,26.690,0,,
11/1/1952,2.8,49816,19.0047,,,,,26.690,0,,
12/1/1952,2.7,50166,19.1122,,,,,26.710,0,,
1/1/1953,2.9,50144,19.1660,,,,,26.640,0,,
2/1/1953,2.6,50339,19.2735,,,,,26.590,0,,
3/1/1953,2.6,50473,19.4348,,,,,26.630,0,,
4/1/1953,2.7,50435,19.5154,,,,,26.690,0,,
5/1/1953,2.5,50490,19.6229,,,,,26.700,0,,
6/1/1953,2.5,50519,19.5423,,,,,26.770,0,,
7/1/1953,2.6,50536,19.7842,,,,,26.790,0,,
8/1/1953,2.7,50489,19.6767,,,,,26.850,1,,
9/1/1953,2.9,50368,19.2735,,,,,26.890,1,,
10/1/1953,3.1,50240,19.1122,,,,,26.950,1,,
11/1/1953,3.5,49908,18.6553,,,,,26.850,1,,
12/1/1953,4.5,49703,18.1983,,,,,26.870,1,,
1/1/1954,4.9,49469,18.0639,,,,,26.940,1,,
2/1/1954,5.2,49382,18.1176,,,,,26.990,1,,
3/1/1954,5.7,49157,18.0101,,,,,26.930,1,,
4/1/1954,5.9,49179,17.9026,,,,,26.860,1,,
5/1/1954,5.9,48965,18.0101,,,,,26.930,1,,
6/1/1954,5.6,48895,18.0639,,,,,26.940,0,,
7/1/1954,5.8,48835,18.0907,,,,,26.860,0,,
8/1/1954,6,48826,18.0639,,,,,26.850,0,,
9/1/1954,6.1,48886,18.0908,,,,,26.810,0,,
10/1/1954,5.7,48942,18.3058,,,,,26.720,0,,
11/1/1954,5.3,49180,18.6015,,,,,26.780,0,,
12/1/1954,5,49331,18.8434,,,,,26.770,0,,
1/1/1955,4.9,49496,19.2735,,,,,26.770,0,,
2/1/1955,4.7,49644,19.5154,,,,,26.820,0,,
3/1/1955,4.6,49962,19.9724,,,,,26.790,0,,
4/1/1955,4.7,50248,20.2143,,,,,26.790,0,,
5/1/1955,4.3,50512,20.5369,,,,,26.770,0,,
6/1/1955,4.2,50790,20.5638,,,,,26.710,0,,
7/1/1955,4,50987,20.7251,,,,,26.760,0,,
8/1/1955,4.2,51111,20.6982,,,,,26.720,0,,
9/1/1955,4.1,51266,20.8326,,,,,26.850,0,,
10/1/1955,4.3,51429,21.1820,,,,,26.820,0,,
11/1/1955,4.2,51592,21.2358,,,,,26.880,0,,
12/1/1955,4.2,51805,21.3164,,,,,26.870,0,,
1/1/1956,4,51975,21.4508,,,,,26.830,0,,
2/1/1956,3.9,52167,21.2627,,,,,26.860,0,,
3/1/1956,4.2,52294,21.2627,,,,,26.890,0,,
4/1/1956,4,52375,21.4240,,,,,26.930,0,,
5/1/1956,4.3,52506,21.2358,,,,,27.030,0,,
6/1/1956,4.3,52586,21.0476,,,,,27.150,0,,
